#CLING	GraphSAGE
#layer1	layer2	layer3		layer1	layer2	layer3
19.51	28.69	37.36		17.17	16.59	24.37
19.54	28.03	38.59		17.63	16.62	24.5
19.23	28.3	37.68		17.67	16.68	24.44
19.81	27.97	38.16		17.73	16.62	24.38
18.67	29.54	38.2		17.59	16.58	24.52
19.76	29.71	37.39		17.74	16.55	24.46
19.5	29.48	38.85		17.81	16.47	24.26
19.96	28.26	38.2		17.62	16.58	24.45
19.13	29.04	38.3		17.74	16.55	24.66
19.16	28.91	37.93		17.83	16.59	24.34
19.32	28.6	37.53		17.9	16.68	24.41
20.42	28.93	38.7		17.63	16.5	24.55
18.56	28.83	38.51		17.43	16.56	24.62
19.54	28.74	37.51		17.62	16.66	24.43
19.05	27.84	36.9		17.69	16.63	24.5
19.37	28.88	37.97		16.09	16.5	24.57
19.28	28.77	38.56		17.3	16.65	24.29
19.11	28.93	37.61		17.53	16.61	24.42
18.84	28.76	38.14		17.64	16.64	24.6
19.22	29.58	37.66		17.06	16.61	24.44
19.22	28.61	36.81		17.14	16.56	24.85
19.06	29.51	38.45		17.73	16.52	24.33
19.22	28.69	37.28		17.58	16.54	24.49
19.29	28.4	37.38		17.64	16.51	24.57
18.89	28.77	38.56		17.43	16.58	24.7
18.6	28.65	37.94		17.65	16.55	24.38
19.05	28.64	38.46		17.37	16.55	24.39
18.98	28.77	37.05		17.53	16.58	24.3
19.52	29.29	38.29		17.84	16.59	24.42
18.48	29.13	37.4		17.33	16.49	24.64
19.79	28.98	38.46		17.05	16.5	24.47
19.12	28.53	38.77		17.82	16.61	24.56
19.32	29.28	37.95		17.7	16.56	24.41
19.6	29.45	38.32		17.62	16.56	24.4
19.22	28.81	37.15		17.58	16.54	24.55
19.39	28.64	38.35		17.74	16.54	24.68
18.66	28.71	37.27		17.38	16.55	24.35
19.3	29.94	37.65		17.75	16.65	24.63
19.02	28.8	38.77		17.67	16.54	24.32
18.62	28.47	37.55		17.42	16.6	24.44
18.74	28.52	37.54		17.3	16.55	24.36
18.86	29.02	37.45		17.51	16.61	24.63
18.5	29.06	36.69		17.68	16.56	24.4
19.13	28.45	38.36		17.64	16.65	24.68
19.37	29.02	36.91		17.36	16.55	24.65
19.05	28.92	38.99		17.38	16.67	24.58
19.88	29.07	38.13		17.5	16.59	24.5
19.3	29.01	38.2		17.66	16.52	24.45
20.44	29.63	39.16		17.21	16.59	24.4
19.02	28.47	38.91		17.75	16.62	24.63
19.15	29.27	39.31		17.72	16.62	24.53
19.86	29.34	37.92		17.6	16.41	24.51
18.64	28.84	38.59		17.31	16.6	24.49
18.45	28.86	38.44		17.64	16.63	24.61
18.82	28.77	37.6		17.39	16.59	24.78
19.42	29.16	36.8		17.63	16.58	24.38
19.65	27.9	36.92		17.73	16.58	24.58
18.61	28.71	39.19		17.55	16.56	24.43
19.74	28.78	38.15		17.65	16.58	24.58
20.12	28.45	37.01		17.68	16.62	24.57
